business_id,business_name,business_address,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,violation_id,violation_description,risk_category
5913,ST CHARLES SCHOOL,3250 18th St,94110,37.762074,-122.416107,"(37.762074, -122.416107)",14155867652,5913_20160906,9/6/16,92,5913_20160906_103131,Moderate risk vermin infestation,Moderate Risk
2755,SOCIALE,3665 SACRAMENTO St,94118,37.787364,-122.45299,"(37.787364, -122.45299)",14155920309,2755_20161205,12/5/16,85,2755_20161205_103114,High risk vermin infestation,High Risk
68944,Peet's Coffee and Tea,1630 Holloway Ave,94132,37.720877,-122.477651,"(37.720877, -122.477651)",14155374525,68944_20160509,5/9/16,100,,,
5219,SALVATION ARMY GATEWAY,407 09th St,94103,37.772473,-122.409879,"(37.772473, -122.409879)",14155256100,5219_20180511,5/11/18,94,5219_20180511_103139,Improper food storage,Low Risk
59002,Yummy Bakery & Restaurant,607 Jackson St,94133,37.796152,-122.405255,"(37.796152, -122.405255)",14155988388,59002_20180515,5/15/18,92,59002_20180515_103138,Improper storage use or identification of toxic substances,Low Risk
62064,California Grocery,123 Eddy St,94102,37.784303,-122.409647,"(37.784303, -122.409647)",14155448608,62064_20160411,4/11/16,75,62064_20160411_103150,Improper or defective plumbing,Low Risk
13814,Go Go Market & Deli,99 09th St,94103,37.774722,-122.406761,"(37.774722, -122.406761)",14155863536,13814_20160930,9/30/16,82,13814_20160930_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
2061,ATAMI SUSHI BAR & GRILL,1662 LOMBARD St,94123,37.800788,-122.428894,"(37.800788, -122.428894)",14155611958,2061_20180223,2/23/18,94,2061_20180223_103133,Foods not protected from contamination,Moderate Risk
69282,New Jumbo Seafood Restaurant,1532 NORIEGA St,94122,37.754132,-122.480058,"(37.754132, -122.480058)",14155681800,69282_20160413,4/13/16,76,69282_20160413_103142,Unclean nonfood contact surfaces,Low Risk
68773,Nopalito,1224 9th Ave,94122,37.765412,-122.466375,"(37.765412, -122.466375)",14155430303,68773_20180214,2/14/18,90,68773_20180214_103139,Improper food storage,Low Risk
63082,The Brick Yard,1787 Union St,94123,37.797933,-122.428627,"(37.797933, -122.428627)",14156677676,63082_20180222,2/22/18,87,63082_20180222_103133,Foods not protected from contamination,Moderate Risk
3253,S F GOLF CLUB,1310 Junipero Serra Blvd,94132,37.711329,-122.471316,"(37.711329, -122.471316)",14155464100,3253_20160413,4/13/16,88,3253_20160413_103120,Moderate risk food holding temperature,Moderate Risk
4685,NORMAN'S LIQUOR & DELI,733 Randolph St,94132,37.714204,-122.469193,"(37.714204, -122.469193)",14155580088,4685_20161203,12/3/16,96,4685_20161203_103156,Permit license or inspection report not posted,Low Risk
64380,Michael Mina Restaurant,252 California St,94111,37.793338,-122.399583,"(37.793338, -122.399583)",14155350791,64380_20160414,4/14/16,86,64380_20160414_103147,Inadequate ventilation or lighting,Low Risk
1005,CHAVITA'S MEXICAN RESTAURANT,3006 MISSION St,94110,37.748855,-122.418134,"(37.748855, -122.418134)",14155286927,1005_20160502,5/2/16,84,1005_20160502_103131,Moderate risk vermin infestation,Moderate Risk
64805,Andersen Bread,1390 Market St Suite 110,94102,37.777053,-122.416939,"(37.777053, -122.416939)",14150427100,64805_20170105,1/5/17,94,64805_20170105_103120,Moderate risk food holding temperature,Moderate Risk
999,SERRANO'S PIZZA II,3274 21st St,94110,37.756997,-122.420534,"(37.756997, -122.420534)",14155691615,999_20160503,5/3/16,81,999_20160503_103133,Foods not protected from contamination,Moderate Risk
3838,CAFE PICARO,3120 16th St,94103,37.764908,-122.422442,"(37.764908, -122.422442)",14155434089,3838_20180222,2/22/18,72,3838_20180222_103144,Unapproved or unmaintained equipment or utensils,Low Risk
4874,JUMP START COFFEE & GROCERY,1192 GUERRERO St,94110,37.752118,-122.422914,"(37.752118, -122.422914)",14155647555,4874_20160502,5/2/16,90,4874_20160502_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
1641,MARTHA & BROS. COFFEE CO,1551 Church St,94131,37.745974,-122.426856,"(37.745974, -122.426856)",14155641166,1641_20160812,8/12/16,84,1641_20160812_103145,Improper storage of equipment utensils or linens,Low Risk
5033,DESTINATION BAKING COMPANY,598 Chenery St,94131,37.734619,-122.432379,"(37.734619, -122.432379)",14155460730,5033_20170104,1/4/17,86,5033_20170104_103147,Inadequate ventilation or lighting,Low Risk
5853,RAOUL WALLENBERG HIGH SCHOOL,40 VEGA St,94115,37.780133,-122.445864,"(37.780133, -122.445864)",14155743469,5853_20180227,2/27/18,94,5853_20180227_103147,Inadequate ventilation or lighting,Low Risk
4797,"Good Life Grocery, The",448 CORTLAND Ave,94110,37.739053,-122.416683,"(37.739053, -122.416683)",14155643221,4797_20171130,11/30/17,86,4797_20171130_103132,Improper thawing methods,Moderate Risk
999,SERRANO'S PIZZA II,3274 21st St,94110,37.756997,-122.420534,"(37.756997, -122.420534)",14155691615,999_20160503,5/3/16,81,999_20160503_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
19416,Starbucks,865 Market St C26,94103,37.784317,-122.407563,"(37.784317, -122.407563)",14155604908,19416_20180718,7/18/18,96,19416_20180718_103154,Unclean or degraded floors walls or ceilings,Low Risk
5813,LICK MIDDLE SCHOOL,1220 Noe St,94114,37.74949,-122.43175,"(37.74949, -122.43175)",14155816139,5813_20160502,5/2/16,100,,,
61856,Yoppi Yogurt,101 California St,94111,37.793424,-122.398168,"(37.793424, -122.398168)",14155264677,61856_20160413,4/13/16,90,61856_20160413_103156,Permit license or inspection report not posted,Low Risk
13814,Go Go Market & Deli,99 09th St,94103,37.774722,-122.406761,"(37.774722, -122.406761)",14155863536,13814_20160930,9/30/16,82,13814_20160930_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
4804,SUBWAY #31419,2599 SAN BRUNO Ave,94134,37.728933,-122.40413,"(37.728933, -122.40413)",14150540880,4804_20161206,12/6/16,86,4804_20161206_103150,Improper or defective plumbing,Low Risk
2724,HUNAN EMPIRE,2001 Union St #107,94123,37.797443,-122.432537,"(37.797443, -122.432537)",14155774735,2724_20160929,9/29/16,92,2724_20160929_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
5813,LICK MIDDLE SCHOOL,1220 Noe St,94114,37.74949,-122.43175,"(37.74949, -122.43175)",14155816139,5813_20151021,10/21/15,96,5813_20151021_103120,Moderate risk food holding temperature,Moderate Risk
5841,JEFFERSON ELEMENTARY SCHOOL,1725 IRVING St,94122,37.763543,-122.476332,"(37.763543, -122.476332)",14155752821,5841_20160506,5/6/16,91,5841_20160506_103144,Unapproved or unmaintained equipment or utensils,Low Risk
4801,YICK'S LIQUOR,4701 MISSION St,94112,37.72304,-122.436017,"(37.72304, -122.436017)",14155582662,4801_20161110,11/10/16,94,4801_20161110_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
7744,SAFEWAY #759,625 MONTEREY Blvd,94127,37.731523,-122.45005,"(37.731523, -122.45005)",14155582421,7744_20160809,8/9/16,98,7744_20160809_103144,Unapproved or unmaintained equipment or utensils,Low Risk
32671,La Taqueria Guadalajara,3146 24th St,94110,37.752512,-122.415109,"(37.752512, -122.415109)",14155644892,32671_20180508,5/8/18,75,32671_20180508_103154,Unclean or degraded floors walls or ceilings,Low Risk
62064,California Grocery,123 Eddy St,94102,37.784303,-122.409647,"(37.784303, -122.409647)",14155448608,62064_20160411,4/11/16,75,62064_20160411_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
3267,The Olive Garden Italian,3251 20th Ave,94132,37.728497,-122.475639,"(37.728497, -122.475639)",14155666770,3267_20180510,5/10/18,83,3267_20180510_103147,Inadequate ventilation or lighting,Low Risk
33700,Casa Guadalupe #3,2999 MISSION,94110,37.749194,-122.418116,"(37.749194, -122.418116)",14155875145,33700_20160412,4/12/16,90,33700_20160412_103145,Improper storage of equipment utensils or linens,Low Risk
4804,SUBWAY #31419,2599 SAN BRUNO Ave,94134,37.728933,-122.40413,"(37.728933, -122.40413)",14150540880,4804_20161206,12/6/16,86,4804_20161206_103132,Improper thawing methods,Moderate Risk
3253,S F GOLF CLUB,1310 Junipero Serra Blvd,94132,37.711329,-122.471316,"(37.711329, -122.471316)",14155464100,3253_20160413,4/13/16,88,3253_20160413_103144,Unapproved or unmaintained equipment or utensils,Low Risk
69259,Goat Hill Pizza,170 WEST PORTAL Ave,94127,37.739154,-122.467794,"(37.739154, -122.467794)",14155641440,69259_20180911,9/11/18,100,,,
2369,CLOONEY'S,1401 Valencia St,94110,37.750374,-122.420456,"(37.750374, -122.420456)",14155824988,2369_20160324,3/24/16,86,2369_20160324_103120,Moderate risk food holding temperature,Moderate Risk
4917,LA VICTORIA BAKERY,2937 24th St,94110,37.752373,-122.410876,"(37.752373, -122.410876)",14155647120,4917_20160906,9/6/16,78,4917_20160906_103142,Unclean nonfood contact surfaces,Low Risk
2542,PETER D'S RESTAURANT,2201 Van Ness St,94109,37.795993,-122.423585,"(37.795993, -122.423585)",14155778505,2542_20171208,12/8/17,65,2542_20171208_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
4685,NORMAN'S LIQUOR & DELI,733 Randolph St,94132,37.714204,-122.469193,"(37.714204, -122.469193)",14155580088,4685_20161203,12/3/16,96,4685_20161203_103144,Unapproved or unmaintained equipment or utensils,Low Risk
62064,California Grocery,123 Eddy St,94102,37.784303,-122.409647,"(37.784303, -122.409647)",14155448608,62064_20160411,4/11/16,75,62064_20160411_103139,Improper food storage,Low Risk
5841,JEFFERSON ELEMENTARY SCHOOL,1725 IRVING St,94122,37.763543,-122.476332,"(37.763543, -122.476332)",14155752821,5841_20160506,5/6/16,91,5841_20160506_103114,High risk vermin infestation,High Risk
4479,Courtney's Produce II,101 CASTRO St,94114,37.767194,-122.435576,"(37.767194, -122.435576)",14155621850,4479_20170105,1/5/17,92,4479_20170105_103141,Improper food labeling or menu misrepresentation,Low Risk
4667,EMPIRE THEATRE,085 WEST PORTAL Ave,94127,37.739883,-122.466749,"(37.739883, -122.466749)",14155664950,4667_20171206,12/6/17,100,,,
2134,"CHIEFTAIN IRISH PUB, THE",198 05th St,94103,37.781567,-122.405059,"(37.781567, -122.405059)",14155610916,2134_20161109,11/9/16,87,2134_20161109_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
62064,California Grocery,123 Eddy St,94102,37.784303,-122.409647,"(37.784303, -122.409647)",14155448608,62064_20160411,4/11/16,75,62064_20160411_103129,Insufficient hot water or running water,Moderate Risk
62308,Sam's Diner,1220 Market Street,94102,37.778497,-122.415146,"(37.778497, -122.415146)",14155628590,62308_20160203,2/3/16,72,62308_20160203_103131,Moderate risk vermin infestation,Moderate Risk
33700,Casa Guadalupe #3,2999 MISSION,94110,37.749194,-122.418116,"(37.749194, -122.418116)",14155875145,33700_20160412,4/12/16,90,33700_20160412_103138,Improper storage use or identification of toxic substances,Low Risk
4702,SHUFAT MARKET,3807 24th St,94114,37.751664,-122.427688,"(37.751664, -122.427688)",14155826207,4702_20180226,2/26/18,96,4702_20180226_103131,Moderate risk vermin infestation,Moderate Risk
67187,Chipotle Mexican Grill #1560,333 Jefferson St #104,94133,37.807923,-122.417887,"(37.807923, -122.417887)",14155503533,67187_20160413,4/13/16,100,,,
64380,Michael Mina Restaurant,252 California St,94111,37.793338,-122.399583,"(37.793338, -122.399583)",14155350791,64380_20160414,4/14/16,86,64380_20160414_103144,Unapproved or unmaintained equipment or utensils,Low Risk
5951,ST. THOMAS MORE,50 THOMAS MORE Way,94132,37.712259,-122.47308,"(37.712259, -122.47308)",14155330100,5951_20160413,4/13/16,91,5951_20160413_103103,High risk food holding temperature,High Risk
2134,"CHIEFTAIN IRISH PUB, THE",198 05th St,94103,37.781567,-122.405059,"(37.781567, -122.405059)",14155610916,2134_20171211,12/11/17,87,2134_20171211_103103,High risk food holding temperature,High Risk
69181,Cha-Ya Restaurant,762 Valencia St,94110,37.760777,-122.421505,"(37.760777, -122.421505)",14155257825,69181_20160330,3/30/16,92,69181_20160330_103144,Unapproved or unmaintained equipment or utensils,Low Risk
5893,CLEVELAND ELEMENTARY SCHOOL,455 ATHENS St,94112,37.720765,-122.429004,"(37.720765, -122.429004)",14155464709,5893_20160429,4/29/16,100,,,
3267,The Olive Garden Italian,3251 20th Ave,94132,37.728497,-122.475639,"(37.728497, -122.475639)",14155666770,3267_20180510,5/10/18,83,3267_20180510_103108,Contaminated or adulterated food,High Risk
774,BAY VIEW BOAT CLUB,429 Terry Francois St,94107,37.772667,-122.387032,"(37.772667, -122.387032)",14155567650,774_20161205,12/5/16,90,774_20161205_103157,Food safety certificate or food handler card not available,Low Risk
2755,SOCIALE,3665 SACRAMENTO St,94118,37.787364,-122.45299,"(37.787364, -122.45299)",14155920309,2755_20161205,12/5/16,85,2755_20161205_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
62578,New Chef Hung's Restaurant,823 Clay St,94108,37.794193,-122.406677,"(37.794193, -122.406677)",14155396883,62578_20171207,12/7/17,66,62578_20171207_103141,Improper food labeling or menu misrepresentation,Low Risk
61856,Yoppi Yogurt,101 California St,94111,37.793424,-122.398168,"(37.793424, -122.398168)",14155264677,61856_20160413,4/13/16,90,61856_20160413_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
60544,Manzoni,2790 Diamond St,94131,37.73473,-122.433823,"(37.73473, -122.433823)",14155332251,60544_20160929,9/29/16,92,60544_20160929_103120,Moderate risk food holding temperature,Moderate Risk
3228,THANH LONG RESTAURANT,4101 JUDAH St,94122,37.760383,-122.50609,"(37.760383, -122.50609)",14155257984,3228_20160330,3/30/16,92,3228_20160330_103157,Food safety certificate or food handler card not available,Low Risk
5824,S.F. International High School,1050 YORK St,94110,37.755257,-122.408455,"(37.755257, -122.408455)",14155695780,5824_20180227,2/27/18,92,5824_20180227_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
1005,CHAVITA'S MEXICAN RESTAURANT,3006 MISSION St,94110,37.748855,-122.418134,"(37.748855, -122.418134)",14155286927,1005_20160502,5/2/16,84,1005_20160502_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
2497,PLUTO'S,3258 SCOTT St,94123,37.799796,-122.441041,"(37.799796, -122.441041)",14155778867,2497_20160607,6/7/16,85,2497_20160607_103133,Foods not protected from contamination,Moderate Risk
7755,ARIZMENDI BAKERY,1331 09th Ave,94122,37.763448,-122.466344,"(37.763448, -122.466344)",14155563117,7755_20180904,9/4/18,92,7755_20180904_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
59838,OTD,2232 Bush St,94115,37.786988,-122.434074,"(37.786988, -122.434074)",14155929578,59838_20160531,5/31/16,92,59838_20160531_103129,Insufficient hot water or running water,Moderate Risk
69792,Samiramis Imports,2990 MISSION St,94110,37.74923,-122.418224,"(37.74923, -122.418224)",14155826555,69792_20160412,4/12/16,88,69792_20160412_103177,Non service animal,Low Risk
66536,Cypress Grill,99 Harding Park Rd,94132,37.723698,-122.495289,"(37.723698, -122.495289)",14155664690,66536_20160413,4/13/16,90,66536_20160413_103120,Moderate risk food holding temperature,Moderate Risk
3267,The Olive Garden Italian,3251 20th Ave,94132,37.728497,-122.475639,"(37.728497, -122.475639)",14155666770,3267_20180510,5/10/18,83,3267_20180510_103120,Moderate risk food holding temperature,Moderate Risk
5877,CLAIRE LILIENTHAL SCHOOL-MADISON CA,3950 SACRAMENTO St,94118,37.786808,-122.458014,"(37.786808, -122.458014)",14155758603,5877_20180228,2/28/18,100,,,
2497,PLUTO'S,3258 SCOTT St,94123,37.799796,-122.441041,"(37.799796, -122.441041)",14155778867,2497_20160607,6/7/16,85,2497_20160607_103144,Unapproved or unmaintained equipment or utensils,Low Risk
62308,Sam's Diner,1220 Market Street,94102,37.778497,-122.415146,"(37.778497, -122.415146)",14155628590,62308_20160203,2/3/16,72,62308_20160203_103120,Moderate risk food holding temperature,Moderate Risk
33160,Mission Bay Cafe,550 Terry Francois St,94158,37.770518,-122.386525,"(37.770518, -122.386525)",14155831002,33160_20161205,12/5/16,94,33160_20161205_103165,No plan review or Building Permit,Low Risk
69282,New Jumbo Seafood Restaurant,1532 NORIEGA St,94122,37.754132,-122.480058,"(37.754132, -122.480058)",14155681800,69282_20160413,4/13/16,76,69282_20160413_103147,Inadequate ventilation or lighting,Low Risk
2134,"CHIEFTAIN IRISH PUB, THE",198 05th St,94103,37.781567,-122.405059,"(37.781567, -122.405059)",14155610916,2134_20171211,12/11/17,87,2134_20171211_103154,Unclean or degraded floors walls or ceilings,Low Risk
5847,John Muir Elementary School,380 Webster St,94117,37.774046,-122.429076,"(37.774046, -122.429076)",14155246335,5847_20160309,3/9/16,92,5847_20160309_103131,Moderate risk vermin infestation,Moderate Risk
4917,LA VICTORIA BAKERY,2937 24th St,94110,37.752373,-122.410876,"(37.752373, -122.410876)",14155647120,4917_20160906,9/6/16,78,4917_20160906_103154,Unclean or degraded floors walls or ceilings,Low Risk
66411,Del Popolo LLC,269 Chattanooga St,94114,37.752274,-122.426336,"(37.752274, -122.426336)",14154276600,66411_20160607,6/7/16,100,,,
66536,Cypress Grill,99 Harding Park Rd,94132,37.723698,-122.495289,"(37.723698, -122.495289)",14155664690,66536_20160413,4/13/16,90,66536_20160413_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
5999,The Salvation Army,1156 Valencia St,94110,37.754397,-122.420915,"(37.754397, -122.420915)",14155640260,5999_20180724,7/24/18,90,5999_20180724_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
5830,Theodore Roosevelt Middle School,460 Arguello Blvd,94118,37.782383,-122.458926,"(37.782383, -122.458926)",14155758446,5830_20180226,2/26/18,100,,,
4794,VICTOR'S,210 TOWNSEND St,94107,37.778634,-122.393089,"(37.778634, -122.393089)",14155607018,4794_20170105,1/5/17,90,4794_20170105_103157,Food safety certificate or food handler card not available,Low Risk
999,SERRANO'S PIZZA II,3274 21st St,94110,37.756997,-122.420534,"(37.756997, -122.420534)",14155691615,999_20160503,5/3/16,81,999_20160503_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
2638,SF BAGEL CO. (KATZ BAGELS),3147 16th St,94103,37.764814,-122.423089,"(37.764814, -122.423089)",14155559050,2638_20180830,8/30/18,86,2638_20180830_103144,Unapproved or unmaintained equipment or utensils,Low Risk
68773,Nopalito,1224 9th Ave,94122,37.765412,-122.466375,"(37.765412, -122.466375)",14155430303,68773_20180214,2/14/18,90,68773_20180214_103161,Low risk vermin infestation,Low Risk
4787,TONY BALONEY'S,1098 HOWARD St,94103,37.778033,-122.40943,"(37.778033, -122.40943)",14155861514,4787_20160628,6/28/16,83,4787_20160628_103109,Unclean or unsanitary food contact surfaces,High Risk
4787,TONY BALONEY'S,1098 HOWARD St,94103,37.778033,-122.40943,"(37.778033, -122.40943)",14155861514,4787_20160628,6/28/16,83,4787_20160628_103157,Food safety certificate or food handler card not available,Low Risk
3228,THANH LONG RESTAURANT,4101 JUDAH St,94122,37.760383,-122.50609,"(37.760383, -122.50609)",14155257984,3228_20160330,3/30/16,92,3228_20160330_103144,Unapproved or unmaintained equipment or utensils,Low Risk
7488,EUROPA EXPRESS,746-750 LA PLAYA St,94121,37.774248,-122.510043,"(37.774248, -122.510043)",14155644917,7488_20180209,2/9/18,94,7488_20180209_103144,Unapproved or unmaintained equipment or utensils,Low Risk
7095,ABE'S MARKET,378 FILLMORE St,94117,37.772822,-122.430498,"(37.772822, -122.430498)",14155862576,7095_20171211,12/11/17,92,7095_20171211_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
5905,MARINA MIDDLE SCHOOL,3500 FILLMORE St,94123,37.801776,-122.43641,"(37.801776, -122.43641)",14155743495,5905_20160325,3/25/16,92,5905_20160325_103147,Inadequate ventilation or lighting,Low Risk
5913,ST CHARLES SCHOOL,3250 18th St,94110,37.762074,-122.416107,"(37.762074, -122.416107)",14155867652,5913_20160906,9/6/16,92,5913_20160906_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
2357,CHINA EXPRESS,2798 MISSION St,94110,37.752408,-122.418535,"(37.752408, -122.418535)",14155640881,2357_20151230,12/30/15,70,2357_20151230_103103,High risk food holding temperature,High Risk
4917,LA VICTORIA BAKERY,2937 24th St,94110,37.752373,-122.410876,"(37.752373, -122.410876)",14155647120,4917_20160906,9/6/16,78,4917_20160906_103156,Permit license or inspection report not posted,Low Risk
3825,COVE CAFE,434 CASTRO St,94114,37.761918,-122.435135,"(37.761918, -122.435135)",14155620462,3825_20180724,7/24/18,90,3825_20180724_103132,Improper thawing methods,Moderate Risk
2369,CLOONEY'S,1401 Valencia St,94110,37.750374,-122.420456,"(37.750374, -122.420456)",14155824988,2369_20160324,3/24/16,86,2369_20160324_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
999,SERRANO'S PIZZA II,3274 21st St,94110,37.756997,-122.420534,"(37.756997, -122.420534)",14155691615,999_20160503,5/3/16,81,999_20160503_103139,Improper food storage,Low Risk
10886,Taste of Formosa,2428 CLEMENT ST,94121,37.782018,-122.485421,"(37.782018, -122.485421)",14155666368,10886_20180906,9/6/18,88,10886_20180906_103162,Other low risk violation,Low Risk
64380,Michael Mina Restaurant,252 California St,94111,37.793338,-122.399583,"(37.793338, -122.399583)",14155350791,64380_20160414,4/14/16,86,64380_20160414_103127,Noncompliance with HAACP plan or variance,Moderate Risk
69792,Samiramis Imports,2990 MISSION St,94110,37.74923,-122.418224,"(37.74923, -122.418224)",14155826555,69792_20160412,4/12/16,88,69792_20160412_103139,Improper food storage,Low Risk
62277,Tacos San Buena,16th & Shotwell St,94102,37.779847,-122.418985,"(37.779847, -122.418985)",14155556127,62277_20180221,2/21/18,87,62277_20180221_103103,High risk food holding temperature,High Risk
33700,Casa Guadalupe #3,2999 MISSION,94110,37.749194,-122.418116,"(37.749194, -122.418116)",14155875145,33700_20160412,4/12/16,90,33700_20160412_103141,Improper food labeling or menu misrepresentation,Low Risk
5907,LILIENTHAL ELEMENTARY SCHOOL,3630 DIVISADERO St,94118,37.803537,-122.443547,"(37.803537, -122.443547)",14155743516,5907_20171207,12/7/17,100,,,
62064,California Grocery,123 Eddy St,94102,37.784303,-122.409647,"(37.784303, -122.409647)",14155448608,62064_20160411,4/11/16,75,62064_20160411_103114,High risk vermin infestation,High Risk
774,BAY VIEW BOAT CLUB,429 Terry Francois St,94107,37.772667,-122.387032,"(37.772667, -122.387032)",14155567650,774_20161205,12/5/16,90,774_20161205_103145,Improper storage of equipment utensils or linens,Low Risk
61856,Yoppi Yogurt,101 California St,94111,37.793424,-122.398168,"(37.793424, -122.398168)",14155264677,61856_20160413,4/13/16,90,61856_20160413_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
3838,CAFE PICARO,3120 16th St,94103,37.764908,-122.422442,"(37.764908, -122.422442)",14155434089,3838_20180222,2/22/18,72,3838_20180222_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
